Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,first_name,last_name,email,phone_number,address,state,postal_code,age
56f4e873-bab8-4cb0-9c31-d5648f2ea470,588006,Lead Add Form,Reference,No,No,1,1.0,1486,1.0,Page Visited on Website,,Retail Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,02.Medium,01.High,14.0,19.0,No,No,Page Visited on Website,Brenda,Williams,smithjohnny@example.org,001-237-258-1855x05020,60892 Silva Fork,Michigan,87430,21
f1c84d1a-bdca-43ad-b577-8371041d8ca5,590832,Landing Page Submission,Direct Traffic,No,No,1,2.0,181,2.0,SMS Sent,India,International Business,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Not Sure,No,No,Potential Lead,Thane & Outskirts,02.Medium,01.High,13.0,19.0,No,Yes,SMS Sent,Linda,Anderson,pmorris@example.org,+1-649-548-6685x200,3678 Becker Dam Apt. 101,Minnesota,41451,52
7d69a4b8-aea0-41dc-9ef8-62b8b9d4b9cd,611150,API,Olark Chat,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,,,,,No,No,SMS Sent,Alicia,Flynn,ncarpenter@example.org,9787775600,461 Chapman Grove Apt. 644,Kentucky,47338,34
b6db1e85-4354-4d3b-b3a7-c0f0d1b9d45a,583035,Landing Page Submission,Google,No,No,0,7.0,397,7.0,Email Link Clicked,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,,No,No,Potential Lead,Mumbai,01.High,01.High,17.0,18.0,No,Yes,Email Link Clicked,Andrew,Floyd,wscott@example.com,(682)843-5799x13022,5085 Torres Locks,Montana,68208,54
884b7c34-d951-497f-b9e6-de959d08d000,632641,Landing Page Submission,Direct Traffic,No,No,0,15.0,69,3.0,Form Submitted on Website,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Worst,No,No,Potential Lead,Thane & Outskirts,02.Medium,01.High,14.0,19.0,No,No,Modified,Angela,Johnson,danielmarshall@example.com,+1-235-911-7480x154,6514 Katherine Glens,Vermont,42990,53
f82ba06c-77de-469f-aa14-daf916e138a5,641626,Landing Page Submission,Direct Traffic,No,No,1,2.0,1328,2.0,SMS Sent,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Cities,02.Medium,02.Medium,15.0,16.0,No,Yes,SMS Sent,Jessica,Salas,lauren46@example.com,+1-705-473-2400x401,52002 Carrillo Walks Apt. 091,Indiana,74723,27
9d35a2c2-09d8-439f-9875-0e8bbf267f5a,602557,Landing Page Submission,Google,No,No,1,6.0,1069,6.0,Email Opened,India,Marketing Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Select,Mumbai,,,,,No,Yes,Email Opened,Charles,Nash,alexanderdiaz@example.com,+1-886-376-9369,06952 Lucas Harbors,Texas,57902,48
35c3b5d1-c22f-49d1-8787-54a80ab88e21,655091,API,Organic Search,No,No,0,3.0,241,3.0,Converted to Lead,India,,,,,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,,,02.Medium,02.Medium,14.0,15.0,No,No,Modified,Scott,Flowers,amanda31@example.net,001-676-334-6070x95371,676 Kenneth Heights Apt. 269,North Dakota,60337,53
3f04fd93-2884-45f6-a4fc-f3b6f234554b,660153,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,17.0,15.0,No,No,Modified,Michelle,Williams,reedbethany@example.org,684.818.6525x5222,522 Lisa Cove Suite 202,Utah,88444,52
599cc8e9-5d78-401e-b40f-adacbdacd51a,654026,API,Google,No,No,0,3.0,52,3.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Might be,No,No,Potential Lead,Thane & Outskirts,02.Medium,02.Medium,14.0,16.0,No,No,Modified,Angela,Smith,elizabethparker@example.com,+1-243-606-7719x3048,8551 Eric Terrace,Pennsylvania,16597,24
93d2a6cd-e589-48b4-8f26-eeeea380d3ee,588209,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Metro Cities,02.Medium,01.High,15.0,18.0,No,No,Email Opened,Wesley,Herrera,ihinton@example.org,363.872.3477x6881,4638 Maxwell Squares Apt. 770,Connecticut,89009,18
4df1b0d3-49c2-41c0-b6e9-6b3a6e6a8fd5,653637,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Might be,No,No,Select,Select,02.Medium,02.Medium,13.0,15.0,No,No,Email Opened,Jason,Gordon,tranalyssa@example.org,915-545-3754x11070,40015 Dyer Dale,Minnesota,98275,47
68130c6a-b5f6-4524-a344-f655087c2a4c,581416,API,Olark Chat,No,No,1,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,,No,No,Potential Lead,Select,02.Medium,02.Medium,15.0,16.0,No,No,Modified,Charles,Wilson,ngonzales@example.org,001-850-276-5770,7687 Tucker Mall Apt. 141,Texas,80635,71
f6c0c94a-fb89-4062-a456-bb9ccc8da829,631460,Landing Page Submission,Google,No,No,1,5.0,653,2.5,SMS Sent,India,Human Resource Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities,,,,,No,No,SMS Sent,Stacy,Rowe,vsmith@example.net,826-297-9367,791 Derrick Shores,Wisconsin,94442,39
13ca85d1-e276-4028-90e4-b7e9bd3517e6,597178,Landing Page Submission,Organic Search,No,No,1,10.0,47,3.33,Email Opened,India,Finance Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,,,,,No,No,Email Opened,Laura,Ball,elara@example.com,560.687.2973,192 Powell Causeway,Oregon,64400,67
99a5c848-a50a-4625-8525-ffa2c6f7a883,610523,Landing Page Submission,Google,No,No,0,5.0,12,1.67,Olark Chat Conversation,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Graduation in progress,,No,No,Select,Mumbai,,,,,No,Yes,Modified,Allen,Hernandez,careylisa@example.com,(577)961-4120x6794,17028 Jimenez Extension,Connecticut,11968,71
ff1f908b-8168-4f19-8a0e-4ec50a31b719,643289,Landing Page Submission,Google,No,No,1,5.0,1013,5.0,Email Opened,India,Finance Management,Advertisements,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,02.Medium,01.High,15.0,19.0,No,No,Email Opened,Travis,Jones,jesse41@example.net,356.708.5674x373,57783 Richardson Stream Suite 196,Florida,59084,44
e3167f66-701b-4c04-9fb0-f1b326ba0267,638626,API,Olark Chat,No,No,1,4.0,40,2.0,Page Visited on Website,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,01.High,02.Medium,16.0,15.0,No,No,Page Visited on Website,Rachel,Brady,scook@example.net,922-659-3578x657,449 Angel Knoll Suite 400,Massachusetts,20803,74
896b167e-1368-4c17-9795-672822fd3ac3,631375,API,Google,No,No,0,4.0,183,1.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,Not Sure,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Modified,Sara,Crosby,davidleonard@example.org,+1-566-778-4994x872,0798 Hughes Locks Suite 728,New Mexico,86833,47
4d428dd5-9c95-4041-b29d-28d5f05d9e4e,587105,Landing Page Submission,Google,No,No,1,4.0,2,2.0,Unreachable,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Cities of Maharashtra,02.Medium,01.High,13.0,17.0,No,No,Modified,Kelly,Morales,christopherodonnell@example.net,001-371-309-3891x46353,865 Michele Prairie,Florida,61404,36
ec6cbdde-9145-4f84-8e6b-b31c651633ef,625785,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified,Richard,Knight,uweiss@example.org,(299)906-2935x4827,33466 George Forges,Delaware,07038,51
64fa7b1f-d6ac-4b66-991a-7a4c4e4ec3e4,643901,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Lateral Student,Select,02.Medium,01.High,15.0,18.0,No,No,Modified,Allen,Herrera,robertanderson@example.net,766.414.3174,446 Aguilar Dale Suite 082,New Mexico,98054,19
c3a58704-80e2-47ca-b6fe-bdf54b9ef69d,598588,Landing Page Submission,Direct Traffic,Yes,No,0,1.0,281,1.0,Email Bounced,United States,IT Projects Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Tier II Cities,,,,,No,Yes,Modified,Johnny,Williams,melissaarmstrong@example.net,(864)891-1411,1814 Derrick Plains,Hawaii,14123,48
9d2d7baa-239e-49c2-87bd-e716bb0bc7fc,643746,Landing Page Submission,Google,No,No,0,2.0,1458,1.0,Email Bounced,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Mumbai,03.Low,01.High,12.0,18.0,No,Yes,Modified,Randy,Gordon,jennifer12@example.com,446-711-4223,8174 Hart Light Apt. 260,Virginia,08465,75
85e317a5-603e-4a16-813f-e1e597f2f656,628034,Landing Page Submission,Direct Traffic,No,No,0,4.0,22,4.0,SMS Sent,India,Hospitality Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,,,,,No,Yes,SMS Sent,Eric,Allen,gtravis@example.com,724.645.0451x1253,52793 Lee Drive,Nevada,71483,22
4f931ef5-830d-4a85-a1ff-d6d3fc9f1c49,613774,API,Google,No,No,1,3.0,1341,3.0,SMS Sent,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities,,,,,No,No,SMS Sent,Taylor,Grant,twatts@example.net,+1-353-749-6122x834,6373 Johnson Terrace,Delaware,55613,66
551f8c98-65cd-46f3-ae1f-77eef6fe9834,628482,Lead Add Form,Reference,No,No,1,1.0,1054,1.0,Email Opened,India,Operations Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Select,Mumbai,02.Medium,01.High,14.0,19.0,No,Yes,Email Opened,George,Hansen,curtis76@example.com,(285)413-8182x3345,040 David Lane,Utah,78399,68
ff8daf82-a795-4276-8443-67437cec918c,653998,Landing Page Submission,Organic Search,No,No,0,3.0,145,3.0,SMS Sent,India,Travel and Tourism,,,,No,No,No,No,No,No,No,No,,,No,No,,Other Cities,02.Medium,02.Medium,13.0,14.0,No,Yes,SMS Sent,Jill,Hensley,jonathanfoster@example.com,841.886.6520x34964,209 Flowers Manors Apt. 069,North Dakota,28859,53
03bddfac-f0db-432f-a7f5-1935b7b82f25,610985,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Olark Chat Conversation,David,Day,dmckee@example.net,332.678.1170x472,03985 Reilly Hollow Suite 362,New York,08124,75
f862f741-fea1-4e57-b03d-fdee157c7e8c,608819,API,Google,No,No,1,24.0,282,3.43,SMS Sent,India,Human Resource Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,01.High,02.Medium,16.0,16.0,No,No,SMS Sent,William,Allen,genglish@example.com,832.621.7902,1746 Jennifer Causeway Apt. 009,Pennsylvania,68719,41
a88b4c5f-c49b-4e53-adec-f159b1d04b3a,607345,API,Olark Chat,No,No,1,0.0,0,0.0,Email Opened,,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,,,,,No,No,Email Opened,Johnathan,Garrett,curtiskenneth@example.net,394-684-3716x3087,18351 Tracy Mills Suite 442,Michigan,62891,67
7627f374-b6ed-4d04-b4b5-8783b971afad,642403,API,Olark Chat,No,No,1,0.0,0,0.0,Email Opened,,Rural and Agribusiness,Select,Student,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Thane & Outskirts,02.Medium,03.Low,15.0,12.0,No,No,Email Opened,Tiffany,Schneider,lopezjohn@example.net,001-980-809-2039x093,283 Robinson Throughway Apt. 378,Massachusetts,16497,54
10682f9f-54cb-4318-b6f8-0f71fe5d9568,612830,Landing Page Submission,Direct Traffic,No,No,0,9.0,165,4.5,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Select,,,,,No,No,Email Opened,Charles,Richmond,ortegamichele@example.org,001-678-573-4066,79741 Martin Junctions,Pennsylvania,07840,68
d7124f55-911b-4b5f-9ccc-777dfc5b01d8,597266,Landing Page Submission,Google,No,No,0,3.0,235,3.0,Email Opened,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,Not Sure,No,No,Select,Other Cities,,,,,No,No,Email Opened,Tony,Martinez,ispencer@example.net,471-237-8794x4599,33092 Miranda Track Apt. 313,Wyoming,47298,20
427bcec5-4598-439c-b78f-47d89a7d385b,652559,API,Google,No,No,0,1.0,87,1.0,Converted to Lead,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Modified,Jennifer,Clark,calderonheather@example.org,847.855.4695x0203,201 Woodward Pine Apt. 024,Iowa,89767,20
b4c75bf5-cfc6-4175-b694-6a4e6c28777d,602259,Landing Page Submission,Direct Traffic,No,No,1,3.0,942,1.5,SMS Sent,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Metro Cities,,,,,No,No,SMS Sent,Jeff,Harmon,rebecca04@example.org,(764)336-7644,130 Ball Freeway,Minnesota,72678,41
76c61ea5-19de-424f-bfaa-04a6fa5d0faf,643936,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,02.Medium,01.High,15.0,19.0,No,No,Email Opened,Cynthia,Powell,kimberly03@example.org,+1-968-582-6407x831,44651 Nichols Dam,North Carolina,59420,26
633fd1fe-c951-49a3-b8f9-de5c6d87da6b,595645,Landing Page Submission,Direct Traffic,No,No,0,5.0,1675,5.0,SMS Sent,India,Finance Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Mumbai,,,,,No,Yes,SMS Sent,Brian,Jenkins,martinezdana@example.net,(959)365-0066x5949,0634 Grant Mall Suite 523,North Dakota,89324,59
f47014b5-2d6c-455a-ba5d-0422975cd749,637904,API,Google,No,No,0,1.0,249,1.0,Converted to Lead,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,16.0,15.0,No,No,Modified,Erika,Dennis,clayton69@example.org,268.314.7941x62241,95255 Deanna Summit,South Dakota,58580,53
d935a637-1b8a-4030-a025-8c3c498d63d3,607674,Lead Add Form,Reference,No,No,1,,1445,,,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Select,Select,,,,,No,No,Modified,Tonya,Gibson,kbryant@example.net,(272)889-8767x245,5422 Brandi Greens,Georgia,69171,62
f1d1bef7-e296-47bd-90bc-05beff0b595c,606383,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Select,Select,,,,,No,No,Modified,Nicholas,Francis,jason68@example.org,(737)778-1662x21559,5366 Brian Causeway,Montana,40285,72
1eca7391-dad3-4422-9bc6-ce62c50938b0,590318,API,Google,No,No,0,3.0,247,3.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Modified,Rachel,Thompson,lperry@example.net,762.588.3682x4978,0595 Warren Branch Suite 079,Michigan,44305,73
45347878-dd45-4327-ba7b-1d3396a4c414,586917,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,17.0,15.0,No,No,Email Opened,Sandra,Gomez,robinsonmolly@example.com,596-656-4391x38732,660 Jennifer River Apt. 075,Indiana,33598,62
42892ba2-48ab-4736-98c8-c670a29c1018,640652,API,Olark Chat,No,No,1,0.0,0,0.0,Email Opened,,IT Projects Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Potential Lead,Mumbai,02.Medium,02.Medium,15.0,15.0,No,No,Modified,Jay,Branch,byoung@example.org,(801)544-5113x10748,890 Nicholas Centers Apt. 048,Iowa,83114,58
2b309a9f-64f6-4d49-9cc5-6dc88333b70e,652828,API,Referral Sites,No,No,0,7.0,103,3.5,Page Visited on Website,India,,,,,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,,,02.Medium,02.Medium,15.0,13.0,No,No,Modified,Jennifer,Thomas,sean22@example.org,+1-355-216-1363x76890,3061 Garcia Land,Utah,35519,43
689db81b-73aa-4ff1-91a1-baf2ffcc560a,587667,Landing Page Submission,Direct Traffic,No,No,0,1.0,55,1.0,Converted to Lead,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Mumbai,01.High,01.High,16.0,18.0,No,Yes,Modified,Dylan,Weaver,oanderson@example.org,353.662.9504x696,94895 Shields Haven Suite 166,Idaho,05554,29
cc7625a7-220e-47c4-85f0-2408f05b7cd9,601563,Landing Page Submission,Google,No,No,1,9.0,1033,9.0,SMS Sent,India,Human Resource Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Cities,,,,,No,No,SMS Sent,Richard,Perez,michellebutler@example.net,(600)302-0235x767,974 Jacqueline Mountain,Washington,21623,20
9b9ebbf5-a785-41f5-abde-fb6a42d53dc7,656586,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Not Sure,No,No,Other Leads,Select,02.Medium,02.Medium,15.0,14.0,No,No,Modified,Randy,Marsh,erin87@example.net,+1-714-935-1681x402,095 Brendan Station Apt. 221,Missouri,39723,62
213c4dcf-f0dc-4236-b9dd-3f4a5e975477,629803,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified,Mark,Garrett,christophercurtis@example.net,591-655-1251,712 Denise Ports,Wyoming,40547,27
4b9be532-b4a9-42b8-b211-5314708dddea,616664,API,Google,No,No,1,3.0,8,1.5,SMS Sent,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,SMS Sent,Raymond,Stevens,michaelwade@example.org,(334)414-6938x69442,461 Mullins Pines Apt. 541,Idaho,53162,21
a5cd90cf-911c-4f23-b73c-f3c67f5a27ef,606653,Landing Page Submission,Direct Traffic,No,No,1,4.0,901,4.0,SMS Sent,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Other Cities,,,,,No,Yes,SMS Sent,Joanne,Roberts,sharonpeterson@example.net,779.928.1551x47869,05039 Stacey Radial,Indiana,27001,43
70b3b9ca-21a6-452c-a402-1192a5d4ae10,644988,Landing Page Submission,Direct Traffic,No,No,1,3.0,1223,3.0,Email Opened,India,Operations Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities of Maharashtra,02.Medium,01.High,15.0,19.0,No,Yes,Email Opened,Heather,Wilkins,boyersusan@example.com,756.954.5679x94931,53610 Sherry Neck,Arkansas,16325,49
6ba97f19-89a6-43d3-b5fe-b7aae842afd5,636112,Landing Page Submission,Google,Yes,No,0,2.0,435,2.0,Olark Chat Conversation,India,Finance Management,Student of SomeSchool,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Mumbai,01.High,01.High,16.0,18.0,No,No,Modified,Traci,Calhoun,vcuevas@example.com,668-556-4230x68103,118 Powell Glen,Nebraska,94584,34
8c7d2750-ca15-46d7-a8e9-8bbb1f364c2d,585411,Landing Page Submission,Direct Traffic,No,No,0,5.0,12,5.0,Email Opened,India,Business Administration,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Select,Other Cities of Maharashtra,02.Medium,01.High,13.0,17.0,No,Yes,Email Opened,Jose,Larsen,taylorbeck@example.com,+1-376-629-6547x2096,23597 Amy Meadows,North Dakota,27253,47
455a7865-c128-4e66-922d-00a6cd110e88,653924,API,Olark Chat,No,No,1,3.0,978,3.0,Page Visited on Website,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,16.0,15.0,No,No,Modified,Cory,Reyes,katherine42@example.org,+1-484-816-9047x1011,85206 Brent Rue Suite 622,Texas,04435,61
